time,latitude,longitude,temp
2000-12-01,6.482,-26.606,27.779
2000-12-12,6.258,-27.009,27.8
2000-12-23,5.844,-27.645,27.385
2000-07-26,0.316,-23.787,24.956
2000-07-26,0.316,-23.787,24.964
2000-02-05,0.093,-21.743,27.953
2000-02-16,0.333,-20.682,28.13
2000-02-16,0.333,-20.682,28.119
2000-02-27,0.444,-19.624,28.816
2000-02-27,0.444,-19.624,28.819
2000-03-08,0.224,-19.002,27.903
2000-03-08,0.224,-19.002,27.902
2000-06-13,0.208,-15.546,25.735
2000-06-13,0.208,-15.546,25.606
2000-06-24,0.5,-16.129,24.031
2000-06-24,0.5,-16.129,23.997
2000-07-05,0.536,-17.325,23.306
2000-07-05,0.536,-17.325,23.305
2000-07-16,0.273,-18.693,22.448
2000-07-16,0.273,-18.693,22.316
2000-07-26,0.881,-19.824,23.643
2000-07-26,0.881,-19.824,23.568
2000-08-06,0.991,-20.356,24.452
2000-08-06,0.991,-20.356,24.436
2000-08-17,1.276,-21.404,24.456
2000-08-17,1.276,-21.404,24.457
2000-08-28,1.098,-22.283,25.039
2000-08-28,1.098,-22.283,25.04
2000-09-07,1.23,-23.474,25.997
2000-09-07,1.23,-23.474,25.689
2000-09-18,0.707,-24.325,25.228
2000-09-18,0.707,-24.325,25.198
2000-09-29,0.603,-25.273,25.287
2000-09-29,0.603,-25.273,25.299
2000-10-09,1.09,-25.96,26.09
2000-10-09,1.09,-25.96,26.092
2000-10-20,1.248,-26.872,26.303
2000-10-20,1.248,-26.872,26.229
2000-10-31,0.951,-27.831,26.388
2000-10-31,0.951,-27.831,26.391
2000-11-11,0.863,-28.054,26.55
2000-11-11,0.863,-28.054,26.551
2000-11-21,1.261,-27.781,26.869
2000-11-21,1.261,-27.781,26.872
2000-12-02,1.811,-28.153,26.977
2000-12-02,1.811,-28.153,26.926
2000-12-13,2.448,-28.097,27.052
2000-12-13,2.448,-28.097,27.051
2000-12-24,2.925,-27.959,27.189
2000-12-24,2.925,-27.959,27.199
2000-01-28,1.172,-21.836,27.744
2000-01-28,1.172,-21.836,27.575
2000-02-08,1.437,-21.286,27.922
2000-02-08,1.437,-21.286,27.949
2000-02-19,1.655,-20.619,28.684
2000-02-19,1.655,-20.619,28.492
2000-03-01,1.908,-19.742,28.882
2000-03-01,1.908,-19.742,28.758
2000-03-11,2.21,-19.803,28.638
2000-03-11,2.21,-19.803,28.651
2000-03-22,2.494,-20.313,28.836
2000-03-22,2.494,-20.313,28.794
2000-04-02,2.539,-20.596,28.972
2000-04-02,2.539,-20.596,28.913
2000-04-13,2.334,-20.3,29.586
2000-04-13,2.334,-20.3,29.555
2000-04-23,2.577,-20.108,29.517
2000-04-23,2.577,-20.108,29.296
2000-05-04,2.655,-20.064,29.069
2000-05-04,2.655,-20.064,29.068
2000-05-15,2.602,-20.159,29.431
2000-05-15,2.602,-20.159,29.432
2000-05-26,2.763,-20.536,28.964
2000-05-26,2.763,-20.536,28.878
2000-06-05,2.935,-20.778,28.657
2000-06-05,2.935,-20.778,28.653
2000-06-16,3.062,-21.146,28.187
2000-06-16,3.062,-21.146,28.191
2000-06-27,3.167,-21.868,27.512
2000-06-27,3.167,-21.868,27.526
2000-07-08,3.692,-22.468,27.207
2000-07-08,3.692,-22.468,27.209
2000-07-18,3.793,-22.715,27.659
2000-07-18,3.793,-22.715,27.658
2000-07-29,4.362,-22.844,25.771
2000-07-29,4.362,-22.844,25.729
2000-08-09,4.04,-22.187,26.376
2000-08-09,4.04,-22.187,26.391
2000-08-20,3.472,-21.87,27.438
2000-08-20,3.472,-21.87,27.439
2000-08-30,3.578,-21.765,26.12
2000-08-30,3.578,-21.765,26.121
2000-09-10,3.678,-21.859,26.956
2000-09-10,3.678,-21.859,26.933
2000-09-21,3.988,-21.7,27.356
2000-09-21,3.988,-21.7,27.358
2000-10-02,4.412,-21.156,27.555
2000-10-02,4.412,-21.156,27.651
2000-10-12,4.722,-20.487,27.962
2000-10-12,4.722,-20.487,27.948
2000-10-23,4.776,-19.807,28.304
