time,latitude,longitude,temp
2011-01-10,12.693,-44.907,27.048
2011-01-20,12.844,-45.046,26.416
2011-01-30,12.883,-44.96,26.056
2011-02-09,13.033,-45.055,25.984
2011-02-19,13.236,-45.176,25.632
2011-03-02,13.463,-45.252,26.008
2011-03-12,13.875,-45.405,26.168
2011-03-22,14.194,-45.593,26.184
2011-04-01,14.394,-45.964,26.304
2011-04-11,14.697,-46.611,26.176
2011-04-21,15.171,-47.0,26.472
2011-05-02,15.509,-47.02,26.464
2011-05-12,15.53,-46.954,27.736
2011-05-22,15.439,-46.699,27.616
2011-06-01,15.332,-46.541,27.784
2011-06-11,15.483,-46.365,27.68
2011-06-21,15.92,-46.208,27.6
2011-07-02,16.318,-45.989,27.544
2011-07-12,16.444,-45.65,27.496
2011-07-22,16.119,-45.723,27.568
2011-08-01,15.728,-46.139,27.36
2011-08-21,14.905,-46.924,27.856
2011-01-05,5.466,-10.488,28.826
2011-01-05,5.466,-10.488,28.949
2011-01-15,5.35,-10.271,28.732
2011-01-15,5.35,-10.271,28.727
2011-01-25,4.904,-9.876,28.886
2011-01-25,4.904,-9.876,28.865
2011-02-04,5.001,-10.024,28.849
2011-02-04,5.001,-10.024,28.811
2011-02-14,4.514,-9.702,28.848
2011-02-14,4.514,-9.702,28.842
2011-02-24,4.175,-9.204,29.179
2011-02-24,4.175,-9.204,29.172
2011-03-06,4.255,-9.247,29.56
2011-03-06,4.255,-9.247,29.508
2011-01-02,31.599,-25.902,19.643
2011-01-02,31.599,-25.902,19.643
2011-01-12,31.391,-26.361,19.348
2011-01-12,31.391,-26.361,19.351
2011-01-22,31.14,-27.123,18.91
2011-01-22,31.14,-27.123,18.922
2011-02-01,31.169,-28.139,18.511
2011-02-01,31.169,-28.139,18.517
2011-02-11,31.441,-28.251,18.374
2011-02-11,31.441,-28.251,18.379
2011-02-21,31.212,-28.446,18.674
2011-02-21,31.212,-28.446,18.67
2011-03-03,30.865,-28.994,18.83
2011-03-03,30.865,-28.994,18.877
2011-03-13,30.27,-29.451,17.99
2011-03-13,30.27,-29.451,18.006
2011-01-03,29.874,-26.868,20.347
2011-01-03,29.874,-26.868,20.354
2011-01-13,30.026,-26.459,20.207
2011-01-13,30.026,-26.459,20.205
2011-01-23,30.099,-26.374,20.18
2011-01-23,30.099,-26.374,20.177
2011-02-02,30.087,-26.238,20.423
2011-02-02,30.087,-26.238,20.423
2011-02-12,30.236,-26.152,19.421
2011-02-12,30.236,-26.152,19.426
2011-02-22,30.338,-26.199,20.051
2011-02-22,30.338,-26.199,20.045
2011-03-04,30.289,-26.227,20.382
2011-03-04,30.289,-26.227,20.38
2011-03-14,30.254,-26.139,19.395
2011-03-14,30.254,-26.139,19.396
2011-01-02,32.579,-36.642,18.927
2011-01-02,32.579,-36.642,18.922
2011-01-12,32.264,-36.778,19.37
2011-01-12,32.264,-36.778,19.37
2011-01-22,32.077,-36.926,18.703
2011-01-22,32.077,-36.926,18.703
2011-02-01,31.886,-37.133,18.811
2011-02-01,31.886,-37.133,18.818
2011-02-11,31.803,-37.319,18.742
2011-02-11,31.803,-37.319,18.743
2011-02-21,31.718,-37.406,18.866
2011-02-21,31.718,-37.406,18.863
2011-03-03,31.743,-37.347,19.478
2011-03-03,31.743,-37.347,19.465
2011-03-13,31.842,-37.271,18.71
2011-03-13,31.842,-37.271,18.709
2011-03-23,31.615,-37.015,18.785
2011-03-23,31.615,-37.015,18.768
2011-04-02,31.419,-36.674,19.754
2011-04-02,31.419,-36.674,19.748
2011-04-12,31.225,-36.339,20.081
2011-04-12,31.225,-36.339,20.061
2011-04-22,31.288,-36.083,20.151
2011-04-22,31.288,-36.083,20.132
2011-05-02,31.439,-35.788,20.209
2011-05-02,31.439,-35.788,20.204
2011-05-12,31.592,-35.592,20.845
2011-05-12,31.592,-35.592,20.844
2011-05-22,31.487,-35.109,20.689
2011-05-22,31.487,-35.109,20.655
2011-06-01,31.351,-34.914,21.19
2011-06-01,31.351,-34.914,21.146
2011-06-11,31.314,-34.763,22.043
2011-06-11,31.314,-34.763,22.036
2011-06-21,31.357,-34.713,24.41
2011-06-21,31.357,-34.713,23.871
2011-07-01,31.319,-34.739,23.945
2011-07-01,31.319,-34.739,23.93
2011-07-11,31.497,-34.587,24.635
2011-07-11,31.497,-34.587,24.606
2011-07-21,31.823,-34.435,23.809
2011-07-21,31.823,-34.435,23.801
2011-01-02,27.297,-31.548,22.272
2011-01-02,27.297,-31.548,22.263
2011-01-12,27.465,-31.528,22.396
2011-01-12,27.465,-31.528,22.381
2011-01-22,27.778,-31.392,22.075
2011-01-22,27.778,-31.392,22.075
2011-02-01,28.052,-31.403,21.653
2011-02-01,28.052,-31.403,21.655
2011-02-11,28.179,-31.204,21.582
2011-02-11,28.179,-31.204,21.583
2011-02-21,28.068,-30.813,21.427
2011-02-21,28.068,-30.813,21.412
2011-03-03,27.857,-30.493,21.389
2011-03-03,27.857,-30.493,21.382
2011-03-13,27.6,-30.324,21.09
2011-03-13,27.6,-30.324,21.08
2011-03-23,27.232,-30.177,20.908
2011-03-23,27.232,-30.177,20.902
2011-04-02,26.971,-30.022,21.633
2011-04-02,26.971,-30.022,21.619
2011-04-12,26.832,-29.913,21.282
2011-04-12,26.832,-29.913,21.281
2011-04-22,26.866,-29.58,21.059
2011-04-22,26.866,-29.58,21.061
2011-05-02,27.052,-29.339,3.351
2011-05-02,27.052,-29.339,3.346
2011-05-12,27.193,-29.041,22.136
2011-05-12,27.193,-29.041,22.029
2011-05-22,27.319,-28.955,3.383
2011-05-22,27.319,-28.955,3.37
2011-06-01,27.526,-29.289,22.155
2011-06-01,27.526,-29.289,22.147
2011-06-11,27.852,-29.846,22.279
2011-06-11,27.852,-29.846,22.318
2011-06-21,28.32,-30.317,23.007
2011-06-21,28.32,-30.317,22.995
2011-07-01,28.868,-30.46,23.528
2011-07-01,28.868,-30.46,23.534
2011-07-11,29.261,-29.918,23.28
2011-07-11,29.261,-29.918,23.277
2011-07-21,29.022,-29.48,23.213
2011-07-21,29.022,-29.48,23.206
2011-01-03,31.809,-39.858,20.437
2011-01-03,31.809,-39.858,20.442
2011-01-13,31.76,-40.027,20.63
2011-01-13,31.76,-40.027,20.626
2011-01-23,31.767,-40.299,20.596
2011-01-23,31.767,-40.299,20.621
2011-02-02,31.779,-40.605,20.012
2011-02-02,31.779,-40.605,20.016
2011-02-12,31.84,-40.934,20.106
2011-02-12,31.84,-40.934,20.108
2011-02-22,31.762,-40.798,19.886
2011-02-22,31.762,-40.798,19.89
2011-03-04,31.69,-40.57,19.791
2011-03-04,31.69,-40.57,19.791
2011-03-14,31.577,-40.413,19.175
2011-03-14,31.577,-40.413,19.174
2011-03-24,31.243,-40.436,19.081
2011-03-24,31.243,-40.436,19.078
2011-04-03,31.001,-40.51,20.003
2011-04-03,31.001,-40.51,19.99
2011-04-13,30.736,-40.547,20.015
2011-04-13,30.736,-40.547,20.015
2011-04-23,30.457,-40.869,19.587
2011-04-23,30.457,-40.869,19.589
